University,Country,City,Region,Logo,Link,Type,Size,Faculty_count,International_Students,Students_count,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Latitude,Longitude
University of Jyväskylä,Finland,Jyväskylä,Europe,https://www.topuniversities.com/sites/default/files/university-of-jyvskyl_306_small.jpg,https://www.topuniversities.com/universities/university-jyvaskyla,Public,M,2,339,14,338,357,336,345,335,359,,
University of Utah,United States,Salt Lake City,North America,https://www.topuniversities.com/sites/default/files/university-of-utah_645_small.jpg,https://www.topuniversities.com/universities/university-utah,Public,L,3,2,24,410,391,345,352,335,359,40.762484,-111.846044
Ewha Womans University,South Korea,Seoul,Asia,https://www.topuniversities.com/sites/default/files/ewha-womans-university_592560cf2aeae70239af4b38_small.jpg,https://www.topuniversities.com/universities/ewha-womans-university,Private,L,2,2,14,335,299,319,330,335,363,,
La Trobe University,Australia,Melbourne,Oceania,https://www.topuniversities.com/sites/default/files/la-trobe-university_592560cf2aeae70239af4bd1_small.jpg,https://www.topuniversities.com/universities/la-trobe-university,Public,L,1,9,20,385,360,397,400,398,363,-33.99643866,142.1963849
MGIMO School of Business and International Proficiency,Russia,Moscow,Europe,https://www.topuniversities.com/sites/default/files/moscow-state-institute-of-international-relations-mgimo-university_2156_small.jpg,https://www.topuniversities.com/universities/mgimo-school-business-international-proficiency,Public,M,2,2,8,0,0,0,0,0,363,,
ITMO University,Russia,St. Petersburg,Europe,https://www.topuniversities.com/sites/default/files/itmo-university_592560cf2aeae70239af5829_small.jpg,https://www.topuniversities.com/universities/itmo-university,Public,M,2,2,12,0,602,514,435,361,366,,
Umea University,Sweden,Umeå,Europe,https://www.topuniversities.com/sites/default/files/logo_Umu-48x48.jpg,https://www.topuniversities.com/universities/umea-university,Public,L,2,1,14,294,338,338,339,335,366,,
Ulm University,Germany,Ulm,Europe,https://www.topuniversities.com/sites/default/files/university-ulm_638_small.jpg,https://www.topuniversities.com/universities/ulm-university,Public,M,1,1,7,0,0,0,0,0,366,,
Sultan Qaboos University,Oman,Muscat,Asia,https://www.topuniversities.com/sites/default/files/sultan-qaboos-university_2530_small.jpg,https://www.topuniversities.com/universities/sultan-qaboos-university,Public,M,916,248,6412,452,452,450,379,375,369,,
Norwegian University of Science And Technology,Norway,Trondheim,Europe,https://www.topuniversities.com/sites/default/files/norwegian-university-of-science-and-technology_457_small.jpg,https://www.topuniversities.com/universities/norwegian-university-science-technology,Public,XL,3,3,36,259,259,363,358,361,370,,
Universidade Federal do Rio de Janeiro,Brazil,Rio de Janeiro,Latin America,https://www.topuniversities.com/sites/default/files/universidade-federal-do-rio-de-janeiro_525_small.jpg,https://www.topuniversities.com/universities/universidade-federal-do-rio-de-janeiro,Public,XL,4,555,44,321,311,361,357,380,370,,
Universitat Politècnica de València,Spain,València,Europe,https://www.topuniversities.com/sites/default/files/universitat-politcnica-de-valncia_648_small.jpg,https://www.topuniversities.com/universities/universitat-politecnica-de-valencia,Public,L,3,3,24,430,373,310,335,328,372,,
Lincoln University,New Zealand,Lincoln,Oceania,https://www.topuniversities.com/sites/default/files/lincoln-university-_592560cf2aeae70239af4ef3_small.jpg,https://www.topuniversities.com/universities/lincoln-university,Public,S,643,898,5787,343,319,317,355,387,373,-43.64252064,172.4677661
Beijing Institute of Technology,China (Mainland),Beijing,Asia,https://www.topuniversities.com/sites/default/files/beijing-institute-of-technology_868_small.jpg,https://www.topuniversities.com/universities/beijing-institute-technology,Public,XL,3,2,33,388,452,464,435,392,374,,
"University of Chemistry and Technology, Prague",Czech Republic,Prague,Europe,https://www.topuniversities.com/sites/default/files/university-of-chemistry-and-technology-prague_592560cf2aeae70239af4f53_small.jpg,https://www.topuniversities.com/universities/university-chemistry-technology-prague,Public,S,903,864,3612,0,0,0,354,343,374,,
University of Connecticut,United States,Storrs,North America,https://www.topuniversities.com/sites/default/files/university-of-connecticut_140_small.jpg,https://www.topuniversities.com/universities/university-connecticut,Public,L,1,4,19,423,422,373,377,502,374,41.807658,-72.256961
University of Waikato,New Zealand,Hamilton ,Oceania,https://www.topuniversities.com/sites/default/files/university-of-waikato_660_small.jpg,https://www.topuniversities.com/universities/university-waikato,Public,M,595,2,8330,324,292,274,265,375,374,-37.49004363,175.4717586
University of Oulu,Finland,Oulu,Europe,https://www.topuniversities.com/sites/default/files/university-of-oulu_476_small.jpg,https://www.topuniversities.com/universities/university-oulu,Public,M,883,579,9713,410,412,376,374,408,378,,
Julius-Maximilians-Universität Würzburg,Germany,Würzburg,Europe,https://www.topuniversities.com/sites/default/files/julius-maximilians-universitt-wrzburg_592560cf2aeae70239af4d2d_small.jpg,https://www.topuniversities.com/universities/julius-maximilians-universitat-wurzburg,Public,L,953,2,22872,423,481,523,461,437,379,,
Quaid-i-Azam University,Pakistan,Islamabad,Asia,https://www.topuniversities.com/sites/default/files/quaid-i-azam-university_592560cf2aeae70239af4d41_small.jpg,https://www.topuniversities.com/universities/quaid-i-azam-university,Public,L,452,115,14916,703,650,552,511,454,379,,
"Stony Brook University, State University of New York",United States,Stony Brook,North America,https://www.topuniversities.com/sites/default/files/stony-brook-university-state-university-of-new-york_592560cf2aeae70239af4ccb_small.jpg,https://www.topuniversities.com/universities/stony-brook-university-state-university-new-york,Public,L,2,6,22,389,382,349,358,373,379,40.90563946,-73.12379301
Sharif University of Technology,"Iran, Islamic Republic of",Tehran,Asia,https://www.topuniversities.com/sites/default/files/sharif-university-of-technology_592560cf2aeae70239af4d42_small.jpg,https://www.topuniversities.com/universities/sharif-university-technology,Public,M,495,198,7920,430,471,432,407,409,382,,
Tokyo Medical and Dental University (TMDU),Japan,Tokyo,Asia,https://www.topuniversities.com/sites/default/files/tokyo-medical-and-dental-university-tmdu_592560cf2aeae70239af4e8a_small.jpg,https://www.topuniversities.com/universities/tokyo-medical-dental-university-tmdu,Public,S,930,325,2790,329,367,352,358,363,382,,
American University of Sharjah,United Arab Emirates,Sharjah,Asia,https://www.topuniversities.com/sites/default/files/american-university-of-sharjah_1201_small.jpg,https://www.topuniversities.com/universities/american-university-sharjah,Private,S,371,3,4452,441,412,376,370,349,384,,
Beihang University (former BUAA),China (Mainland),Beijing,Asia,https://www.topuniversities.com/sites/default/files/beihang-university-former-buaa_870_small.jpg,https://www.topuniversities.com/universities/beihang-university-former-buaa,Public,XL,3,2,36,430,551,491,461,449,384,,
University of Kent,United Kingdom,Canterbury,Europe,https://www.topuniversities.com/sites/default/files/university-of-kent_315_small.jpg,https://www.topuniversities.com/universities/university-kent,Public,L,4000,4,52000,367,373,355,367,380,384,,
Kobe University,Japan,Kobe City,Asia,https://www.topuniversities.com/sites/default/files/kobe-university_320_small.jpg,https://www.topuniversities.com/universities/kobe-university,Public,L,2,1,16,368,352,352,395,403,387,,
University of Kansas,United States,Lawrence,North America,https://www.topuniversities.com/sites/default/files/university-of-kansas_309_small.jpg,https://www.topuniversities.com/universities/university-kansas,Public,L,3,2,21,372,386,367,372,383,388,38.956474,-95.258651
University at Buffalo SUNY,United States,Buffalo,North America,https://www.topuniversities.com/sites/default/files/university-at-buffalo-suny_1888_small.jpg,https://www.topuniversities.com/universities/university-buffalo-suny,Public,L,2,4,38,342,318,313,342,347,389,42.96052811,-78.81970041
University of Pisa,Italy,Pisa,Europe,https://www.topuniversities.com/sites/default/files/university-of-pisa_499_small.jpg,https://www.topuniversities.com/universities/university-pisa,Public,XL,2,2,36,430,422,422,389,383,389,,
Università Vita-Salute San Raffaele,Italy,Milan,Europe,https://www.topuniversities.com/sites/default/files/universit-vita-salute-san-raffaele_592560cf2aeae70239af5016_small.jpg,https://www.topuniversities.com/universities/universita-vita-salute-san-raffaele,Private,S,451,94,2255,0,0,0,0,392,391,,
SOAS University of London ,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/soas-university-of-london-_592560cf2aeae70239af4bf0_small.jpg,https://www.topuniversities.com/universities/soas-university-london,Public,S,300,2,3300,252,296,288,308,347,392,,
Universidad de Palermo (UP),Argentina,Buenos Aires,Latin America,https://www.topuniversities.com/sites/default/files/universidad-de-palermo-up_592560cf2aeae70239af54de_small.jpg,https://www.topuniversities.com/universities/universidad-de-palermo,Private,M,833,2,4998,441,432,420,383,377,392,,
Peter the Great St. Petersburg Polytechnic University,Russia,St. Petersburg,Europe,https://www.topuniversities.com/sites/default/files/peter-the-great-st.-petersburg-polytechnic-university_592560cf2aeae70239af52ed_small.jpg,https://www.topuniversities.com/universities/peter-great-st-petersburg-polytechnic-university,Public,L,2,5,14,410,401,404,438,401,394,,
Ruhr-Universität Bochum,Germany,Bochum,Europe,https://www.topuniversities.com/sites/default/files/ruhr-universitt-bochum_537_small.jpg,https://www.topuniversities.com/universities/ruhr-universitat-bochum,Public,XL,1,7,35,452,401,372,431,439,394,,
Indian Institute of Technology Guwahati (IITG),India,Guwahati,Asia,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-guwahati-iitg_283_small.jpg,https://www.topuniversities.com/universities/indian-institute-technology-guwahati-iitg,Public,M,410,42,6970,482,502,472,490,470,396,,
National Research Tomsk Polytechnic University,Russia,,Europe,https://www.topuniversities.com/sites/default/files/national-research-tomsk-polytechnic-university_14158_small.jpg,https://www.topuniversities.com/universities/national-research-tomsk-polytechnic-university,Public,M,2,3,12,399,386,373,387,401,396,,
Pontificia Universidad Catolica del Peru,Peru,Lima,Latin America,https://www.topuniversities.com/sites/default/files/210825042529am231772Isotipo-PUCP-200x200-48x48.jpg,https://www.topuniversities.com/universities/pontificia-universidad-catolica-del-peru,Private,L,2,292,22,0,0,0,0,0,396,-12.06931265,-77.0793592
